Module                  Size  Used by
acpi_tad               20480  0
sch_fq_codel           24576  1
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                77824  3 parport_pc,lp,ppdev
drm                   765952  20 gpu_sched,drm_kms_helper,drm_suballoc_helper,drm_display_helper,drm_buddy,amdgpu,drm_ttm_helper,ttm,amdxcp
efi_pstore             12288  0
ip_tables              36864  0
x_tables               69632  5 xt_conntrack,nft_compat,xt_addrtype,ip_tables,xt_MASQUERADE
autofs4                57344  2
nvme                   57344  2
nvme_core             212992  3 nvme
video                  73728  1 amdgpu
xhci_pci               24576  0
hid_generic            12288  0
crc32_pclmul           12288  0
i2c_piix4              28672  0
xhci_pci_renesas       20480  1 xhci_pci
nvme_common            28672  1 nvme_core
i2c_hid_acpi           12288  0
wmi                    40960  3 hp_wmi,video,wmi_bmof
i2c_hid                40960  1 i2c_hid_acpi
hid                   180224  4 i2c_hid,hid_multitouch,hid_generic,uhid
