Module                  Size  Used by
x_tables               69632  8 xt_conntrack,nft_compat,xt_tcpudp,xt_addrtype,xt_CHECKSUM,ipt_REJECT,ip_tables,xt_MASQUERADE
autofs4                57344  2
nvme                   57344  2
mfd_aaeon              12288  0
asus_wmi               73728  3 asus_nb_wmi,hid_asus,mfd_aaeon
ledtrig_audio          12288  2 snd_hda_codec_generic,asus_wmi
nvme_core             212992  3 nvme
hid_generic            12288  0
video                  73728  3 asus_wmi,amdgpu,nvidia_modeset
ucsi_acpi              12288  0
sparse_keymap          12288  1 asus_wmi
xhci_pci               24576  0
platform_profile       12288  1 asus_wmi
crc32_pclmul           12288  0
typec_ucsi             53248  1 ucsi_acpi
i2c_piix4              28672  0
xhci_pci_renesas       20480  1 xhci_pci
nvme_common            28672  1 nvme_core
typec                 110592  1 typec_ucsi
i2c_hid_acpi           12288  0
i2c_hid                40960  1 i2c_hid_acpi
wmi                    40960  4 video,asus_wmi,wmi_bmof,mfd_aaeon
hid                   180224  5 i2c_hid,usbhid,hid_multitouch,hid_generic,hid_asus
